apple-fonts 7.0.5-1
archlinux-java-run 12-1
audiorelay 0.27.5-6
balena-etcher 2.1.6-1
bibata-cursor-theme 2.0.7-1
brave-origin-beta-bin 1.96.53-1
cheese 44.1-7
clutter 1.26.4-4
clutter-gst 3.0.27-5
clutter-gtk 1.8.4-5
cogl 1.22.8-5
electron37 37.5.1-1
google-chrome 153.0.8010.52-1
hydra-launcher-bin 4.1.4-1
jack 0.126.0-6
libacars 2.2.1-1
libcheese 44.1-7
logmein-hamachi 2.1.0.203-1
losslesscut-bin 3.69.0-1
minecraft-legacy-launcher 1.6.93.1-5
nodejs-mapscii 0.3.1-4
oneko 1.2.5-6
osu-lazer 2026.921.0-1
playit 1.0.10-1
python-clickgen 2.2.5-1
rofimoji-git 6.9.0.r0.gbb07f8c-1
sklauncher-bin 3.2.18-1
vesktop 1.6.7-1
ytmdesktop 2.0.12-1
