accountsservice 26.27.3-1
alacritty 0.17.0-1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-6
alsa-utils 1.2.16-1
apple-fonts 7.0.5-1
aria2 1.37.0-3
audacity 1:3.7.9-1
audiorelay 0.27.5-6
awesome-terminal-fonts 1.1.0-5
balena-etcher 2.1.6-1
base 3-3
base-devel 1-2
bash-completion 2.18.0-1
bibata-cursor-theme 2.0.7-1
bind 9.20.29-1
blueman 2.4.6-2
bluez 5.87-2
bluez-hid2hci 5.87-2
bluez-libs 5.87-2
bluez-obex 5.87-2
bluez-utils 5.87-2
brave-origin-beta-bin 1.96.53-1
brightnessctl 0.5.1-3
btop 1.4.7-1
btrfs-progs 7.1-1
cachyos-fish-config 16-1
cachyos-hello 0.28.1-1
cachyos-hooks 2026.02.05-1
cachyos-kernel-manager 1.19.0-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 27-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 24-1
cachyos-settings 1:1.4.0-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
cantarell-fonts 1:0.311-1
cava 1.0.0-1
cheese 44.1-7
chwd 1.24.1-1
cmatrix 2.0-4
cpupower 7.2.6-1
cryptsetup 2.8.8-1
dash 0.5.13.4-1
device-mapper 2.03.42-1
diffutils 3.12-2
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.93-1
dolphin 26.08.1-1
dosfstools 4.2-5
duf 0.9.1-1
e2fsprogs 1.47.4-1
efibootmgr 18-4
efitools 1.9.2-7
ethtool 1:7.1-1
exfatprogs 1.4.3-1
f2fs-tools 1.16.0-4
fastfetch 2.68.1-1
ffmpegthumbnailer 2.3.1-1
firefox 156.0-1
flatpak 1:1.18.2-1
foot 1.28.0-2
fsarchiver 0.8.9-1
fuse2 2.9.9-6
git 2.55.0-1
github-cli 2.101.0-1
glances 4.5.6-1
gnome-disk-utility 46.1-3
google-chrome 153.0.8010.52-1
gparted 1.8.1-2
gphoto2 2.5.32-1
grim 1.5.0-2
gst-libav 1.28.7-1
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad 1.28.7-1
gst-plugins-ugly 1.28.7-1
gst-plugin-va 1.28.7-1
gvfs-gphoto2 1.60.3-3
gvfs-mtp 1.60.3-3
hdparm 9.65-3
helvum 0.6.2-2
heroic-games-launcher 2.22.3-2
hwdetect 2025.08.16.1333-1
hwinfo 25.5-1
